,branch_lengths,dist,rep,quint
3,0.041030092821804844,52.54620405888262,22,4
4,0.040974855439560615,86.40430315946921,22,5
0,0.04057135584706959,14.493562776854624,23,1
1,0.04178487947320214,25.592495468740772,23,2
2,0.04116224797619053,35.88688920967745,23,3
3,0.04123298752175914,52.54620405888262,23,4
4,0.04147857297619051,86.40430315946921,23,5
0,0.042173911652930454,14.493562776854624,24,1
1,0.04082512343563901,25.592495468740772,24,2
2,0.04136849625915763,35.88688920967745,24,3
3,0.041220048850206206,52.54620405888262,24,4
4,0.040642018223443356,86.40430315946921,24,5
0,0.040920729752747326,14.493562776854624,25,1
1,0.04087720070087033,25.592495468740772,25,2
2,0.04225224803113558,35.88688920967745,25,3
3,0.04090248288593685,52.54620405888262,25,4
4,0.04127681548992693,86.40430315946921,25,5
0,0.04080442400183159,14.493562776854624,26,1
1,0.042838025634448045,25.592495468740772,26,2
2,0.04086449318223461,35.88688920967745,26,3
3,0.041182343907466744,52.54620405888262,26,4
4,0.040541216089743655,86.40430315946921,26,5
0,0.04106115997252747,14.493562776854624,27,1
1,0.04049093985799362,25.592495468740772,27,2
2,0.0416170414697804,35.88688920967745,27,3
3,0.04159052175446633,52.54620405888262,27,4
4,0.041469951982600894,86.40430315946921,27,5
0,0.04116329300366301,14.493562776854624,28,1
1,0.04069105934035739,25.592495468740772,28,2
2,0.04059016125915757,35.88688920967745,28,3
3,0.04267781107191957,52.54620405888262,28,4
4,0.041107879835164826,86.40430315946921,28,5
0,0.04202947462912092,14.493562776854624,29,1
1,0.041179489725148816,25.592495468740772,29,2
2,0.04112927871794884,35.88688920967745,29,3
3,0.04090571657810369,52.54620405888262,29,4
4,0.04098565710164842,86.40430315946921,29,5
0,0.03984590080586087,14.493562776854624,30,1
1,0.04176339443426489,25.592495468740772,30,2
2,0.040096886021062345,35.88688920967745,30,3
3,0.04241886191021539,52.54620405888262,30,4
4,0.04210553376831504,86.40430315946921,30,5
0,0.04068197812271076,14.493562776854624,31,1
1,0.04084555155290891,25.592495468740772,31,2
2,0.040796253658424854,35.88688920967745,31,3
3,0.042018548474576346,52.54620405888262,31,4
4,0.04188764157967045,86.40430315946921,31,5
0,0.04177861523809535,14.493562776854624,32,1
1,0.04168478621163545,25.592495468740772,32,2
2,0.04019410842948717,35.88688920967745,32,3
3,0.04201990435639044,52.54620405888262,32,4
4,0.04055294403846154,86.40430315946921,32,5
0,0.04092882413919419,14.493562776854624,33,1
1,0.04159073014658736,25.592495468740772,33,2
2,0.04141073657509171,35.88688920967745,33,3
3,0.04095310654145674,52.54620405888262,33,4
4,0.04134642934523814,86.40430315946921,33,5
0,0.04017712675824173,14.493562776854624,34,1
1,0.042197206161246066,25.592495468740772,34,2
2,0.04132285373168504,35.88688920967745,34,3
3,0.040971148153916705,52.54620405888262,34,4
4,0.04156177789377305,86.40430315946921,34,5
0,0.04069001794413931,14.493562776854624,35,1
1,0.041557128172240165,25.592495468740772,35,2
2,0.04201942250915758,35.88688920967745,35,3
3,0.04152574720109934,52.54620405888262,35,4
4,0.040437757733516565,86.40430315946921,35,5
0,0.04142876097527483,14.493562776854624,36,1
1,0.042088902510306996,25.592495468740772,36,2
2,0.04018620260989013,35.88688920967745,36,3
3,0.04133189842418693,52.54620405888262,36,4
4,0.0411944637683151,86.40430315946921,36,5
0,0.04079077587912094,14.493562776854624,37,1
1,0.042818596463582284,25.592495468740772,37,2
2,0.04069549032967039,35.88688920967745,37,3
3,0.04176159244159426,52.54620405888262,37,4
4,0.04016430402930409,86.40430315946921,37,5
0,0.04130231146978031,14.493562776854624,38,1
1,0.04044084179111314,25.592495468740772,38,2
2,0.04110321502747245,35.88688920967745,38,3
3,0.04121252704535057,52.54620405888262,38,4
4,0.04217052369047643,86.40430315946921,38,5
0,0.04167779766025655,14.493562776854624,39,1
1,0.04218658491983507,25.592495468740772,39,2
2,0.04144074999084259,35.88688920967745,39,3
3,0.04021451854328906,52.54620405888262,39,4
4,0.04071011027930415,86.40430315946921,39,5
0,0.040734300265567736,14.493562776854624,40,1
1,0.040494371823179255,25.592495468740772,40,2
2,0.04158446001373632,35.88688920967745,40,3
3,0.04235934852954652,52.54620405888262,40,4
4,0.04105748800366315,86.40430315946921,40,5
0,0.0413333692948719,14.493562776854624,41,1
1,0.040747830261108633,25.592495468740772,41,2
2,0.04193330062271074,35.88688920967745,41,3
3,0.041101678506642224,52.54620405888262,41,4
4,0.04111333014652024,86.40430315946921,41,5
0,0.04092870383241767,14.493562776854624,42,1
1,0.041034967288135646,25.592495468740772,42,2
2,0.04168902351190484,35.88688920967745,42,3
3,0.0411200120109941,52.54620405888262,42,4
4,0.04145694205586087,86.40430315946921,42,5
0,0.040326392532051364,14.493562776854624,43,1
1,0.04086953519010545,25.592495468740772,43,2
2,0.04107751152472528,35.88688920967745,43,3
3,0.04126947015574904,52.54620405888262,43,4
4,0.042686731982600784,86.40430315946921,43,5
0,0.041542308928571574,14.493562776854624,44,1
1,0.039813599299129684,25.592495468740772,44,2
2,0.041747447165750934,35.88688920967745,44,3
3,0.04123784243701336,52.54620405888262,44,4
4,0.04188794558608068,86.40430315946921,44,5
0,0.039845847087912126,14.493562776854624,45,1
1,0.04140055787906562,25.592495468740772,45,2
2,0.04266204630036639,35.88688920967745,45,3
3,0.04135130469079253,52.54620405888262,45,4
4,0.04097016603937736,86.40430315946921,45,5
0,0.04068656815018321,14.493562776854624,46,1
1,0.04127447290426029,25.592495468740772,46,2
2,0.04073656515109891,35.88688920967745,46,3
3,0.04147148238204318,52.54620405888262,46,4
4,0.04206083070512825,86.40430315946921,46,5
0,0.04219224167124551,14.493562776854624,47,1
1,0.04131368130554286,25.592495468740772,47,2
2,0.04040273037545791,35.88688920967745,47,3
3,0.041738737114063305,52.54620405888262,47,4
4,0.040582669148351694,86.40430315946921,47,5
0,0.04177385809523815,14.493562776854624,48,1
1,0.041020330270270335,25.592495468740772,48,2
2,0.04118413987179494,35.88688920967745,48,3
3,0.04121952929454887,52.54620405888262,48,4
4,0.04103183003205135,86.40430315946921,48,5
0,0.041297714519230866,14.493562776854624,49,1
1,0.04184809385707742,25.592495468740772,49,2
2,0.04123759098901099,35.88688920967745,49,3
3,0.04149507036188741,52.54620405888262,49,4
4,0.04035172301282062,86.40430315946921,49,5
0,0.04134529994963378,14.493562776854624,50,1
1,0.04136863902427861,25.592495468740772,50,2
2,0.041086460183150264,35.88688920967745,50,3
3,0.04087579373339454,52.54620405888262,50,4
4,0.04155349676739927,86.40430315946921,50,5
0,0.041689422673992824,14.493562776854624,51,1
1,0.04038187117269812,25.592495468740772,51,2
2,0.04133863886904769,35.88688920967745,51,3
3,0.041021345597801274,52.54620405888262,51,4
4,0.04179802617216122,86.40430315946921,51,5
0,0.0420841838095239,14.493562776854624,52,1
1,0.04213668271186436,25.592495468740772,52,2
2,0.04116608518315035,35.88688920967745,52,3
3,0.0406381436005498,52.54620405888262,52,4
4,0.04020483720695972,86.40430315946921,52,5
0,0.04157519808150192,14.493562776854624,53,1
1,0.03998752662849289,25.592495468740772,53,2
2,0.04157362701007335,35.88688920967745,53,3
3,0.04149869570316085,52.54620405888262,53,4
4,0.041594295068681425,86.40430315946921,53,5
0,0.040775156602564123,14.493562776854624,54,1
1,0.03999575526339903,25.592495468740772,54,2
2,0.04204789646062281,35.88688920967745,54,3
3,0.04170094438845635,52.54620405888262,54,4
4,0.0417096861492675,86.40430315946921,54,5
0,0.040347043424908434,14.493562776854624,55,1
1,0.041967721868987756,25.592495468740772,55,2
2,0.04165147319139203,35.88688920967745,55,3
3,0.04050485956023831,52.54620405888262,55,4
4,0.041758696076007344,86.40430315946921,55,5
0,0.04131632509157511,14.493562776854624,56,1
1,0.04045514476408626,25.592495468740772,56,2
2,0.041229188177655654,35.88688920967745,56,3
3,0.04121004508474587,52.54620405888262,56,4
4,0.042018721318681444,86.40430315946921,56,5
0,0.041296692870879226,14.493562776854624,57,1
1,0.041892015895556675,25.592495468740772,57,2
2,0.0414938814285715,35.88688920967745,57,3
3,0.04027125109482364,52.54620405888262,57,4
