strain	date
EU516296|A/California/02/2007	2007-01-29
EU199349|A/California/03/2007	2007-01-23
EU199352|A/California/04/2007	2007-01-25
EU199354|A/California/05/2007	2007-01-29
EU779631|A/California/05/2008	2008-01-15
EU779632|A/California/06/2008	2008-02-06
FJ532076|A/California/07/2008	2008-09-04
EU199348|A/California/09/2006	2006-12-14
CY021717|A/California/10/1978	1978-XX-XX
EU716569|A/California/10/2006	2006-12-06
GQ475749|A/California/11/2008	2008-11-28
EU716572|A/California/26/2007	2007-01-13
EU516299|A/California/27/2007	2007-10-24
EU516096|A/California/28/2007	2007-10-02
EU516291|A/California/39/2007	2007-12-05
EU516294|A/California/40/2007	2007-12-03
CY028724|A/California/45/1978	1978-XX-XX
CY027843|A/California/UR06_0125/2007	2007-01-30
CY026355|A/California/UR06_0232/2007	2007-02-09
CY026531|A/California/UR06_0302/2007	2007-02-14
CY026763|A/California/UR06_0321/2007	2007-02-16
CY026315|A/California/UR06_0374/2007	2007-02-20
CY026675|A/California/UR06_0375/2007	2007-02-20
CY026539|A/California/UR06_0393/2007	2007-02-21
CY025373|A/California/UR06_0435/2007	2007-02-26
CY041450|A/California/UR06_0439/2007	2007-02-26
CY027891|A/California/UR06_0440/2007	2007-02-27
CY028459|A/California/UR06_0442/2007	2007-02-26
CY028307|A/California/UR06_0479/2007	2007-03-01
CY028467|A/California/UR06_0552/2007	2007-03-08
CY027355|A/California/UR06_0564/2007	2007-03-07
CY027211|A/California/UR06_0585/2007	2007-03-09
CY009596|A/Cam/46	1969-XX-XX
FJ375205|A/Cambodia/0371/2007	2007-08-09
FJ375206|A/Cambodia/0374/2007	2007-08-10
FJ743471|A/Cambodia/21/2007	2007-10-01
FJ375207|A/Cambodia/365/2007	2007-08-21
FJ375208|A/Cambodia/502/2007	2007-08-27
CY147350|A/Cameron/JY2/1946	1969-XX-XX
CY125196|A/Canada/591/2004	2004-XX-XX
CY010396|A/Canterbury/01/2001	2001-01-09
CY019205|A/Canterbury/05/2001	2001-06-03
CY009860|A/Canterbury/08/2001	2001-06-05
CY010132|A/Canterbury/100/2000	2000-08-29
CY010476|A/Canterbury/106/2001	2001-07-28
CY007467|A/Canterbury/106/2004	2004-09-12
CY010308|A/Canterbury/119/2001	2001-08-02
CY010316|A/Canterbury/125/2001	2001-08-05
CY010324|A/Canterbury/126/2001	2001-08-05
CY010332|A/Canterbury/139/2001	2001-08-10
CY010340|A/Canterbury/144/2001	2001-07-27
CY011088|A/Canterbury/152/2001	2001-08-16
CY009980|A/Canterbury/153/2001	2001-08-14
CY010348|A/Canterbury/155/2001	2001-08-14
CY009876|A/Canterbury/16/2001	2001-06-25
CY010148|A/Canterbury/17/2001	2001-06-25
CY010156|A/Canterbury/19/2001	2001-06-25
CY010764|A/Canterbury/20/2001	2001-06-20
CY010164|A/Canterbury/21/2001	2001-07-02
CY010772|A/Canterbury/22/2001	2001-06-28
CY009756|A/Canterbury/23/2000	2000-08-03
CY010172|A/Canterbury/23/2001	2001-06-28
CY010180|A/Canterbury/24/2001	2001-07-02
CY010188|A/Canterbury/25/2001	2001-07-02
CY011408|A/Canterbury/26/2001	2001-06-29
CY010100|A/Canterbury/27/2000	2000-08-14
CY010196|A/Canterbury/27/2001	2001-07-05
CY009188|A/Canterbury/28/2000	2000-08-15
CY010204|A/Canterbury/29/2001	2001-07-05
CY009180|A/Canterbury/30/2000	2000-08-16
CY010212|A/Canterbury/30/2001	2001-07-04
CY009220|A/Canterbury/32/2000	2000-08-17
CY009228|A/Canterbury/34/2000	2000-08-22
CY010220|A/Canterbury/34/2001	2001-07-10
CY010228|A/Canterbury/35/2001	2001-07-07
CY009196|A/Canterbury/36/2000	2000-08-22
CY009532|A/Canterbury/37/2000	2000-08-27
CY010236|A/Canterbury/40/2001	2001-07-09
CY009828|A/Canterbury/41/2000	2000-08-23
CY009884|A/Canterbury/41/2001	2001-07-10
CY010780|A/Canterbury/42/2001	2001-07-10
CY010092|A/Canterbury/43/2000	2000-08-31
CY010244|A/Canterbury/45/2001	2001-07-11
CY010252|A/Canterbury/47/2001	2001-07-11
CY011776|A/Canterbury/48/2000	2000-07-27
CY010260|A/Canterbury/48/2001	2001-07-11
CY009540|A/Canterbury/5/2000	2000-06-20
CY010108|A/Canterbury/51/2000	2000-07-24
CY010412|A/Canterbury/51/2001	2001-07-04
CY010268|A/Canterbury/53/2001	2001-07-09
CY010124|A/Canterbury/54/2000	2000-09-06
CY010556|A/Canterbury/54/2001	2001-07-11
CY011784|A/Canterbury/55/2000	2000-09-04
CY009844|A/Canterbury/57/2000	2000-09-04
CY010116|A/Canterbury/58/2000	2000-08-30
CY010276|A/Canterbury/58/2001	2001-07-13
CY009820|A/Canterbury/60/2000	2000-09-06
CY011080|A/Canterbury/60/2001	2001-07-17
CY010388|A/Canterbury/63/2000	2000-09-06
CY010420|A/Canterbury/63/2001	2001-07-16
CY010284|A/Canterbury/64/2001	2001-07-20
CY009548|A/Canterbury/65/2000	2000-09-02
CY010428|A/Canterbury/65/2001	2001-07-19
CY009956|A/Canterbury/66/2001	2001-07-19
