strain	date
EU199308|A/Illinois/01/2006	2006-12-11
EU779634|A/Illinois/06/2008	2008-03-11
EU516257|A/Illinois/10/2007	2007-12-12
EU516237|A/Illinois/11/2007	2007-12-13
EU516239|A/Illinois/13/2007	2007-12-16
GQ475641|A/Illinois/15/2007	2007-12-23
FJ687025|A/Illinois/15/2008	2008-11-20
GQ475631|A/Illinois/16/2007	2007-12-28
FJ686995|A/Illinois/16/2008	2008-11-27
EU566981|A/Illinois/17/2007	2007-12-12
FJ687003|A/Illinois/17/2008	2008-11-26
CY025245|A/Illinois/UR006_018/2007	2007-01-04
CY025237|A/Illinois/UR06_0019/2007	2007-01-05
CY027803|A/Illinois/UR06_0032/2007	2007-01-16
CY027819|A/Illinois/UR06_0074/2007	2007-01-25
CY027667|A/Illinois/UR06_0088/2007	2007-01-26
CY028067|A/Illinois/UR06_0093/2007	2007-01-29
CY027435|A/Illinois/UR06_0094/2007	2007-01-29
CY026971|A/Illinois/UR06_0095/2007	2007-01-29
CY028347|A/Illinois/UR06_0096/2007	2007-01-29
CY027363|A/Illinois/UR06_0098/2007	2007-01-29
CY027483|A/Illinois/UR06_0115/2007	2007-01-30
CY027275|A/Illinois/UR06_0116/2007	2007-01-30
CY027699|A/Illinois/UR06_0131/2007	2007-01-31
CY027395|A/Illinois/UR06_0136/2007	2007-02-01
CY027091|A/Illinois/UR06_0137/2007	2007-02-01
CY027043|A/Illinois/UR06_0146/2007	2007-02-01
CY028419|A/Illinois/UR06_0215/2007	2007-02-08
CY026179|A/Illinois/UR06_0223/2007	2007-02-08
CY026691|A/Illinois/UR06_0224/2007	2007-01-06
CY027787|A/Illinois/UR06_0227/2007	2007-02-09
CY025571|A/Illinois/UR06_0248/2007	2007-02-12
CY027347|A/Illinois/UR06_0249/2007	2007-02-12
CY025437|A/Illinois/UR06_0333/2007	2007-02-19
CY026611|A/Illinois/UR06_0376/2007	2007-02-21
CY025325|A/Illinois/UR06_0377/2007	2007-02-21
CY025595|A/Illinois/UR06_0415/2007	2007-02-26
CY025517|A/Illinois/UR06_0456/2007	2007-02-28
CY027907|A/Illinois/UR06_0475/2007	2007-03-01
CY026795|A/Illinois/UR06_0491/2007	2007-03-01
CY020453|A/India/6263/1980	1980-XX-XX
EU566975|A/Indiana/01/2008	2008-01-29
EU779625|A/Indiana/04/2008	2008-02-18
EU100706|A/Iowa/02/2006	2006-12-29
EU516241|A/Iowa/04/2007	2007-11-28
CY020461|A/Iowa/1943	1966-XX-XX
DQ889689|A/Iowa/CEID23/2005	2005-XX-XX
CY037335|A/Japan/AF07/2008	2008-01-25
CY125068|A/Johannesburg/159/1997	1997-XX-XX
FJ743452|A/Johannesburg/279/2008	2008-07-22
FJ743464|A/Johannesburg/28/2008	2008-05-29
FJ743454|A/Johannesburg/37/2008	2008-06-10
CY027739|A/Kansas/UR06_0068/2007	2007-01-24
CY028011|A/Kansas/UR06_0084/2007	2007-01-26
CY027835|A/Kansas/UR06_0085/2007	2007-01-26
CY031551|A/Kansas/UR06_0102/2007	2007-01-30
CY030069|A/Kansas/UR06_0103/2007	2007-01-30
CY027035|A/Kansas/UR06_0104/2007	2007-01-30
CY025963|A/Kansas/UR06_0140/2007	2007-02-01
CY027851|A/Kansas/UR06_0143/2007	2007-01-30
CY028139|A/Kansas/UR06_0191/2007	2007-02-05
CY028363|A/Kansas/UR06_0192/2007	2007-02-05
CY027427|A/Kansas/UR06_0283/2007	2007-02-12
CY027979|A/Kansas/UR06_0284/2007	2007-02-12
AB671296|A/Kawasaki/173/2001	2001-XX-XX
CY028195|A/Kentucky/UR06_0007/2006	2006-12-06
CY025229|A/Kentucky/UR06_0010/2006	2006-12-18
CY026651|A/Kentucky/UR06_0027/2007	2007-01-12
CY026219|A/Kentucky/UR06_0028/2007	2007-01-12
CY027219|A/Kentucky/UR06_0029/2007	2007-01-12
CY025787|A/Kentucky/UR06_0033/2007	2007-01-15
CY025923|A/Kentucky/UR06_0034/2007	2007-01-16
CY025493|A/Kentucky/UR06_0042/2007	2007-01-18
CY025699|A/Kentucky/UR06_0043/2007	2007-01-18
CY028035|A/Kentucky/UR06_0046/2007	2007-01-19
CY026515|A/Kentucky/UR06_0057/2007	2007-01-23
CY026803|A/Kentucky/UR06_0058/2007	2007-01-23
CY025261|A/Kentucky/UR06_0059/2007	2007-01-23
CY026739|A/Kentucky/UR06_0061/2007	2007-01-22
CY025453|A/Kentucky/UR06_0062/2007	2007-01-23
CY025915|A/Kentucky/UR06_0069/2007	2007-01-24
CY030727|A/Kentucky/UR06_0070/2007	2007-01-24
CY026811|A/Kentucky/UR06_0071/2007	2007-01-24
CY025429|A/Kentucky/UR06_0072/2007	2007-01-24
CY027171|A/Kentucky/UR06_0081/2007	2007-01-25
CY025309|A/Kentucky/UR06_0082/2007	2007-01-26
CY025509|A/Kentucky/UR06_0097/2007	2007-01-29
CY026875|A/Kentucky/UR06_0123/2007	2007-01-30
CY026867|A/Kentucky/UR06_0127/2007	2007-01-31
CY025979|A/Kentucky/UR06_0128/2007	2007-01-31
CY025461|A/Kentucky/UR06_0129/2007	2007-01-30
CY027051|A/Kentucky/UR06_0154/2007	2007-02-02
CY026979|A/Kentucky/UR06_0161/2007	2007-02-05
CY028019|A/Kentucky/UR06_0162/2007	2007-02-05
CY028355|A/Kentucky/UR06_0181/2007	2007-02-06
CY028147|A/Kentucky/UR06_0182/2007	2007-02-06
CY027019|A/Kentucky/UR06_0183/2007	2007-02-06
CY027459|A/Kentucky/UR06_0184/2007	2007-02-06
CY025635|A/Kentucky/UR06_0188/2007	2007-02-05
CY027331|A/Kentucky/UR06_0220/2007	2007-02-08
CY025675|A/Kentucky/UR06_0240/2007	2007-02-12
CY025947|A/Kentucky/UR06_0257/2007	2007-02-13
CY028163|A/Kentucky/UR06_0258/2007	2007-02-13
CY027915|A/Kentucky/UR06_0259/2007	2007-02-13
CY027011|A/Kentucky/UR06_0327/2007	2007-02-16
CY026987|A/Kentucky/UR06_0328/2007	2007-02-16
CY027779|A/Kentucky/UR06_0339/2007	2007-02-19
CY025357|A/Kentucky/UR06_0363/2007	2007-02-20
CY037663|A/Kentucky/UR06_0369/2007	2007-02-21
CY027283|A/Kentucky/UR06_0371/2007	2007-02-21
CY028748|A/Kentucky/UR06_0372/2007	2007-02-21
CY028083|A/Kentucky/UR06_0391/2007	2007-02-22
CY028043|A/Kentucky/UR06_0401/2007	2007-02-23
CY027371|A/Kentucky/UR06_0424/2007	2007-02-26
CY028051|A/Kentucky/UR06_0425/2007	2007-02-26
CY027675|A/Kentucky/UR06_0449/2007	2007-02-27
CY026587|A/Kentucky/UR06_0476/2007	2007-03-01
CY026227|A/Kentucky/UR06_0538/2007	2007-03-07
CY025939|A/Kentucky/UR06_0539/2007	2007-03-07
CY025667|A/Kentucky/UR06_0553/2007	2007-03-08
CY037695|A/Kentucky/UR07_0061/2008	2008-02-20
KX431172|A/Kenya/21/2008	2008-XX-XX
KX431185|A/Kenya/22/2008	2008-XX-XX
KX431175|A/Kenya/23/2008	2008-XX-XX
CY105086|A/KhanhHoa/KH161/2008	2008-05-05
CY105094|A/KhanhHoa/KH321/2008	2008-08-25
CY105102|A/KhanhHoa/KH38/2008	2008-01-24
CY105110|A/KhanhHoa/KH57/2008	2008-02-24
HM144125|A/Khorasan_Jonoobi/511/2008	2008-01-03
HM144121|A/Khorasan/166/2006	2006-01-07
HM144122|A/Khorasan/280/2006	2006-02-02
HM144123|A/Khorasan/512/2008	2008-01-03
HM144124|A/Khorasan/527/2008	2008-01-09
HM144126|A/Khozestan/380/2006	2006-02-12
HM144127|A/Khozestan/459/2006	2006-02-21
M38353|A/Kiev/59/1979	1979-XX-XX
CY125862|A/Kw/1/1957	1980-XX-XX
CY043441|A/Kyoto/07K303/2008	2008-01-21
CY043449|A/Kyoto/07K316/2008	2008-01-28
CY043457|A/Kyoto/07K454/2008	2008-03-03
CY020165|A/Lackland/3/1978	1978-XX-XX
CY020173|A/Lackland/7/1978	1978-XX-XX
M38312|A/Leningrad/1954/1	1977-XX-XX
CY077889|A/Liverpool/1951	1974-XX-XX
CY104654|A/LongAn/HCM504/2006	2006-05-17
CY104670|A/LongAn/HCM665/2006	2006-06-20
EU779611|A/Louisiana/03/2008	2008-01-13
CY021053|A/Malaya/302/1954	1977-XX-XX
CY117691|A/Malaysia/06768/1995	1995-05-16
CY119066|A/Malaysia/11641/1997	1997-01-16
CY119074|A/Malaysia/11642/1997	1997-01-16
CY117744|A/Malaysia/12530/1997	1997-05-07
CY119098|A/Malaysia/14075/2000	2000-04-24
CY119106|A/Malaysia/14210/2000	2000-05-04
CY119090|A/Malaysia/14458/2000	2000-06-08
CY119114|A/Malaysia/14817/1997	1997-12-31
CY119122|A/Malaysia/15042/1998	1998-01-27
CY118020|A/Malaysia/1652509/2006	2006-09-27
CY119218|A/Malaysia/1686034/2006	2006-12-03
CY119226|A/Malaysia/1706215/2007	2007-01-05
CY119234|A/Malaysia/1715991/2007	2007-02-02
CY119242|A/Malaysia/1718249/2007	2007-02-02
CY119250|A/Malaysia/1718958/2007	2007-02-09
CY118044|A/Malaysia/1758994/2007	2007-04-05
CY118083|A/Malaysia/1788397/2007	2007-05-25
CY118091|A/Malaysia/1794173/2007	2007-06-05
CY119258|A/Malaysia/1798564/2007	2007-06-12
CY119266|A/Malaysia/1811552/2007	2007-07-02
CY119306|A/Malaysia/1823766/2007	2007-07-23
CY118099|A/Malaysia/1828663/2007	2007-07-31
CY119274|A/Malaysia/1842338/2007	2007-08-22
CY119282|A/Malaysia/1882831/2007	2007-10-30
CY118107|A/Malaysia/1887206/2007	2007-11-06
CY118167|A/Malaysia/1999752/2008	2008-05-14
CY118183|A/Malaysia/2095797/2008	2008-10-20
CY119314|A/Malaysia/2104192/2008	2008-03-11
CY119290|A/Malaysia/2132379/2008	2008-12-17
CY119130|A/Malaysia/25531/2003	2003-08-04
CY119138|A/Malaysia/25750/2003	2003-09-09
CY119146|A/Malaysia/25862/2003	2003-09-24
CY119154|A/Malaysia/30025/2004	2004-10-23
CY119162|A/Malaysia/32110/2005	2005-07-29
CY117996|A/Malaysia/32151/2005	2005-08-02
CY119170|A/Malaysia/32217/2005	2005-08-10
CY119178|A/Malaysia/33132/2005	2005-11-30
CY119186|A/Malaysia/33166/2005	2005-12-06
CY118012|A/Malaysia/34291/2006	2006-04-14
CY119194|A/Malaysia/34450/2006	2006-05-03
CY119202|A/Malaysia/35164/2006	2006-07-19
CY119210|A/Malaysia/35405/2006	2006-10-05
CY009340|A/Malaysia/54	1977-XX-XX
CY146785|A/Malaysia/JY2/1954	1977-XX-XX
CY040186|A/Managua/1038.01/2008	2008-06-08
CY038919|A/Managua/107.01/2008	2008-06-26
CY041218|A/Managua/1225.02/2008	2008-06-08
CY039135|A/Managua/1409.01/2008	2008-08-27
CY039463|A/Managua/156.01/2008	2008-06-11
CY045860|A/Managua/1985.01/2008	2008-10-20
CY040226|A/Managua/2055.01/2008	2008-06-10
CY041210|A/Managua/2512.01/2008	2008-02-15
CY039143|A/Managua/254.01/2008	2008-11-01
CY040234|A/Managua/2860.01/2008	2008-10-11
CY039471|A/Managua/3027.01/2008	2008-06-24
CY039119|A/Managua/3029.01/2008	2008-06-09
CY040266|A/Managua/309.01/2008	2008-10-30
CY040250|A/Managua/3153.01/2008	2008-08-07
CY040162|A/Managua/3180.01/2008	2008-06-09
CY040242|A/Managua/3307.01/2008	2008-01-07
CY043736|A/Managua/3418.01/2008	2008-10-11
CY040290|A/Managua/3570.01/2008	2008-06-27
CY040258|A/Managua/3759.02/2008	2008-08-16
CY044421|A/Managua/4017.02/2008	2008-06-20
CY038535|A/Managua/4032.01/2008	2008-06-09
CY044405|A/Managua/4070.01/2008	2008-06-11
CY039479|A/Managua/4086.02/2008	2008-06-25
CY039447|A/Managua/4315.04/2008	2008-10-25
CY040178|A/Managua/4341.01/2008	2008-06-09
CY044389|A/Managua/4359.01/2008	2008-07-01
CY040282|A/Managua/4412.01/2008	2008-11-06
CY043792|A/Managua/4444.01/2008	2008-11-18
CY038927|A/Managua/4537.03/2008	2008-11-03
CY040274|A/Managua/4924.01/2008	2008-10-06
CY044413|A/Managua/496.01/2008	2008-08-28
CY043800|A/Managua/5007.01/2008	2008-08-07
CY039127|A/Managua/521.01/2008	2008-06-08
CY039455|A/Managua/5214.01/2008	2008-07-25
CY039151|A/Managua/5380.01/2008	2008-11-04
CY043776|A/Managua/5751.01/2008	2008-11-11
CY043784|A/Managua/954.02/2008	2008-07-01
CY100964|A/Maracay/WRAIR1729P/2008	2008-09-03
EU199325|A/Maryland/01/2007	2007-01-30
EU716596|A/Maryland/01/2008	2008-01-04
EU566970|A/Maryland/04/2007	2007-12-26
FJ686973|A/Maryland/04/2008	2008-10-27
FJ686975|A/Maryland/05/2008	2008-12-10
GQ475730|A/Maryland/07/2008	2008-12-29
CY039909|A/Maryland/12/1991	1991-XX-XX
CY020181|A/Maryland/2/1980	1980-XX-XX
EU567000|A/Massachusetts/01/2008	2008-01-07
FJ687017|A/Massachusetts/08/2008	2008-11-17
FJ686977|A/Massachusetts/08/2008	2008-11-17
FJ687004|A/Massachusetts/09/2008	2008-11-23
GQ475824|A/Massachusetts/12/2008	2008-12-25
EU516247|A/Massachusetts/14/2007	2007-12-01
HM144128|A/Mazandaran/510/2008	2008-01-05
L24362|A/Maryland/12/1991	1991-XX-XX
CY100876|A/Medellin/WRAIR1297P/2008	2008-06-28
CY045772|A/Melbourne/1/1946	1969-XX-XX
CY009324|A/Melbourne/1935	1958-XX-XX
CY147398|A/Melbourne/JY2/1935	1958-XX-XX
EU779616|A/Memphis/03/2008	2008-01-15
EU779617|A/Memphis/07/2008	2008-01-17
CY011296|A/Memphis/1/1978	1978-XX-XX
CY019739|A/Memphis/1/1979	1979-XX-XX
CY012880|A/Memphis/1/1983	1983-XX-XX
CY021725|A/Memphis/1/1984	1984-XX-XX
CY021973|A/Memphis/1/1987	1987-XX-XX
CY020261|A/Memphis/1/2001	2001-XX-XX
CY010868|A/Memphis/10/1978	1978-XX-XX
CY013879|A/Memphis/10/1983	1983-XX-XX
CY019795|A/Memphis/10/1996	1996-XX-XX
CY010876|A/Memphis/11/1978	1978-XX-XX
CY011304|A/Memphis/11/1983	1983-XX-XX
CY019803|A/Memphis/11/1996	1996-XX-XX
CY010948|A/Memphis/12/1983	1983-XX-XX
CY019101|A/Memphis/12/1986	1986-XX-XX
CY010884|A/Memphis/13/1978	1978-XX-XX
CY011312|A/Memphis/13/1983	1983-XX-XX
CY019867|A/Memphis/13/1996	1996-XX-XX
CY013295|A/Memphis/14/1983	1983-XX-XX
CY020253|A/Memphis/14/1996	1996-XX-XX
AY282756|A/Memphis/14/96_M	1996-XX-XX
AY282757|A/Memphis/14/96_M1	1996-XX-XX
CY010892|A/Memphis/15/1978	1978-XX-XX
CY010956|A/Memphis/15/1983	1983-XX-XX
CY021005|A/Memphis/15/1996	1996-XX-XX
CY021693|A/Memphis/15/2000	2000-XX-XX
CY010964|A/Memphis/16/1983	1983-XX-XX
CY010900|A/Memphis/17/1978	1978-XX-XX
CY010972|A/Memphis/17/1983	1983-XX-XX
CY010980|A/Memphis/18/1983	1983-XX-XX
CY012440|A/Memphis/19/1983	1983-XX-XX
CY012888|A/Memphis/2/1983	1983-XX-XX
CY019109|A/Memphis/2/1996	1996-XX-XX
CY017363|A/Memphis/20/1978	1978-XX-XX
CY017195|A/Memphis/20/1983	1983-XX-XX
CY017419|A/Memphis/21/1983	1983-XX-XX
CY017427|A/Memphis/22/1983	1983-XX-XX
CY017203|A/Memphis/23/1983	1983-XX-XX
CY017211|A/Memphis/24/1983	1983-XX-XX
CY017869|A/Memphis/25/1983	1983-XX-XX
CY017435|A/Memphis/26/1983	1983-XX-XX
CY017219|A/Memphis/27/1983	1983-XX-XX
CY017227|A/Memphis/28/1983	1983-XX-XX
CY017235|A/Memphis/29/1983	1983-XX-XX
CY010916|A/Memphis/3/1983	1983-XX-XX
CY019771|A/Memphis/3/1987	1987-XX-XX
CY019117|A/Memphis/3/1996	1996-XX-XX
CY017243|A/Memphis/30/1983	1983-XX-XX
CY019221|A/Memphis/31/1983	1983-XX-XX
CY017251|A/Memphis/32/1983	1983-XX-XX
CY017877|A/Memphis/35/1983	1983-XX-XX
CY019037|A/Memphis/38/1983	1983-XX-XX
CY020237|A/Memphis/39/1983	1983-XX-XX
CY010924|A/Memphis/4/1983	1983-XX-XX
CY019779|A/Memphis/4/1987	1987-XX-XX
CY019045|A/Memphis/40/1983	1983-XX-XX
CY019053|A/Memphis/41/1983	1983-XX-XX
CY019061|A/Memphis/42/1983	1983-XX-XX
CY027531|A/Memphis/44/1983	1983-XX-XX
CY019069|A/Memphis/46/1983	1983-XX-XX
CY019229|A/Memphis/47/1983	1983-XX-XX
CY019077|A/Memphis/48/1983	1983-XX-XX
CY019755|A/Memphis/49/1983	1983-XX-XX
CY019125|A/Memphis/5/1996	1996-XX-XX
CY019883|A/Memphis/5/2003	2003-XX-XX
CY019085|A/Memphis/50/1983	1983-XX-XX
CY019093|A/Memphis/51/1983	1983-XX-XX
CY019237|A/Memphis/53/1983	1983-XX-XX
CY019763|A/Memphis/54/1983	1983-XX-XX
CY015524|A/Memphis/6/1983	1983-XX-XX
CY019787|A/Memphis/6/1996	1996-XX-XX
CY020141|A/Memphis/6/2001	2001-XX-XX
CY019341|A/Memphis/6/2003	2003-XX-XX
CY010908|A/Memphis/7/1980	1980-XX-XX
CY010932|A/Memphis/7/1983	1983-XX-XX
CY019133|A/Memphis/7/1996	1996-XX-XX
CY020149|A/Memphis/7/2001	2001-XX-XX
CY010940|A/Memphis/8/1983	1983-XX-XX
CY019875|A/Memphis/8/2001	2001-XX-XX
CY073927|A/Mexico/UASLP_005/2008	2008-01-29
CY073935|A/Mexico/UASLP_006/2008	2008-01-28
CY073953|A/Mexico/UASLP_008/2008	2008-01-01
CY073960|A/Mexico/UASLP_009/2008	2008-12-10
FJ686997|A/Michigan/05/2008	2008-11-03
FJ687019|A/Michigan/06/2008	2008-11-29
CY016323|A/Michigan/1/2003	2003-01-23
GQ475652|A/Michigan/10/2008	2008-12-23
CY016327|A/Michigan/4/2003	2003-02-01
CY016328|A/Michigan/5/2003	2003-01-31
CY016329|A/Michigan/6/2003	2003-02-02
CY025221|A/Michigan/UR06_0015/2006	2006-12-28
EU851985|A/Minnesota/01/2008	2008-01-15
EU199332|A/Minnesota/02/2007	2007-01-25
EU100707|A/Minnesota/17/2006	2006-12-29
EU516144|A/Minnesota/23/2007	2007-02-01
FJ686991|A/Minnesota/24/2008	2008-07-09
EU516094|A/Minnesota/25/2007	2007-10-25
FJ687006|A/Minnesota/27/2008	2008-12-09
GQ475777|A/Minnesota/33/2008	2008-12-26
GQ475673|A/Minnesota/34/2008	2008-12-28
EU199341|A/Mississippi/02/2006	2006-12-18
EU779621|A/Mississippi/06/2008	2008-01-24
EU851983|A/Mississippi/06/2008	2008-01-24
CY027875|A/Mississippi/UR06_0014/2006	2006-12-28
CY027203|A/Mississippi/UR06_0047/2007	2007-01-22
CY025803|A/Mississippi/UR06_0048/2007	2007-01-22
CY025627|A/Mississippi/UR06_0086/2007	2007-01-26
CY025555|A/Mississippi/UR06_0130/2007	2007-01-31
CY025619|A/Mississippi/UR06_0142/2007	2007-02-01
CY025579|A/Mississippi/UR06_0145/2007	2007-02-02
CY025317|A/Mississippi/UR06_0242/2007	2007-02-12
CY026371|A/Mississippi/UR06_0378/2007	2007-02-20
CY025891|A/Mississippi/UR06_0537/2007	2007-03-07
CY026395|A/Mississippi/UR06_0595/2007	2007-03-13
FJ549060|A/Missouri/06/2008	2008-08-27
Z54287|A/Mongolia/153/88	1988-XX-XX
Z54286|A/Mongolia/231/85	1985-XX-XX
GQ475830|A/Montana/01/2008	2008-02-29
AB434106|A/Morioka/1/2005	2005-01-14
AB434099|A/Morioka/17/2002	2002-02-12
AB434102|A/Morioka/21/2005	2005-03-07
AB434103|A/Morioka/27/2002	2002-02-19
AB434100|A/Morioka/3/2005	2005-01-17
AB434101|A/Morioka/4/2005	2005-01-24
AB434104|A/Morioka/5/2005	2005-01-24
AB434105|A/Morioka/7/2005	2005-01-26
CY125084|A/Moscow/13/1998	1998-XX-XX
JX477160|A/Moscow/13/1998	1998-XX-XX
CY043465|A/Nagasaki/07N005/2008	2008-01-07
CY043473|A/Nagasaki/07N011/2008	2008-02-20
CY043481|A/Nagasaki/07N020/2008	2008-01-14
CY043489|A/Nagasaki/07N035/2008	2008-02-20
CY016236|A/Nanchang/11/1996	1996-XX-XX
CY013813|A/Nanchang/13/1996	1996-XX-XX
CY017011|A/Nanchang/14/1996	1996-XX-XX
CY013821|A/Nanchang/15/1996	1996-XX-XX
CY013829|A/Nanchang/16/1996	1996-XX-XX
CY125012|A/Nanchang/16A/1999	1999-XX-XX
CY013837|A/Nanchang/17/1996	1996-XX-XX
CY013845|A/Nanchang/19/1996	1996-XX-XX
CY016052|A/Nanchang/21/1996	1996-XX-XX
CY016244|A/Nanchang/23/1996	1996-XX-XX
CY016252|A/Nanchang/25/1996	1996-XX-XX
CY013853|A/Nanchang/26/1996	1996-XX-XX
CY016228|A/Nanchang/8/1996	1996-XX-XX
CY017003|A/Nanchang/9/1996	1996-XX-XX
EU199294|A/Nebraska/01/2007	2007-01-25
EU779633|A/Nebraska/01/2008	2008-01-21
EU199350|A/Nebraska/02/2007	2007-02-06
FJ686958|A/Nebraska/07/2008	2008-12-04
JX477161|A/Neimenggu/52/2002	2002-XX-XX
CY125180|A/Neimenggu/52/2002	2002-XX-XX
CY077719|A/Netherlands/001G1/1950	1973-XX-XX
CY077725|A/Netherlands/001H1/1954	1977-XX-XX
CY077748|A/Netherlands/001R1/1953	1976-XX-XX
CY077763|A/Netherlands/002K1/1949	1972-XX-XX
CY077768|A/Netherlands/002P1/1951	1974-XX-XX
HQ166044|A/Netherlands/26/2007	2007-02-12
CY147318|A/New_Caledonia/20_JY2/1999	1999-XX-XX
CY031336|A/New_Caledonia/20/1999	1999-06-09
DQ508857|A/New_Caledonia/20/1999	1999-XX-XX
EU103824|A/New_Caledonia/20/1999	1999-XX-XX
CY033622|A/New_Caledonia/20/1999	1999-XX-XX
AY289929|A/New_Caledonia/20/1999	1999-XX-XX
FJ743462|A/New_Caledonia/6/2008	2008-08-25
GQ466359|A/New_Jersey/01/2008	2008-01-08
EU566986|A/New_Jersey/02/2008	2008-01-11
EU566993|A/New_Jersey/03/2008	2008-01-04
EU567007|A/New_Jersey/04/2008	2008-01-17
EU567013|A/New_Jersey/05/2008	2008-01-22
EU566979|A/New_Jersey/06/2008	2008-02-02
GQ475687|A/New_Jersey/06/2008	2008-02-02
EU716548|A/New_Jersey/08/2008	2008-01-21
EU516143|A/New_Jersey/09/2007	2007-01-23
EU716619|A/New_Jersey/09/2008	2008-01-25
EU779618|A/New_Jersey/10/2008	2008-02-06
CY044365|A/New_Jersey/11/1976	1976-XX-XX
EU887032|A/New_Jersey/13/2008	2008-02-18
CY058495|A/New_Jersey/15/2007	2007-XX-XX
EU516083|A/New_Jersey/15/2007	2007-11-24
EU516258|A/New_Jersey/16/2007	2007-12-16
GQ475714|A/New_Jersey/16/2008	2008-02-26
CY021957|A/New_Jersey/1976	1976-XX-XX
EU566982|A/New_Jersey/20/2007	2007-12-30
GQ475805|A/New_Jersey/20/2008	2008-12-13
FJ687028|A/New_Jersey/23/2008	2008-12-22
GQ475757|A/New_Jersey/30/2008	2008-12-09
GQ475681|A/New_Jersey/31/2008	2008-12-11
GQ475760|A/New_Jersey/32/2008	2008-12-14
GQ475655|A/New_Jersey/32/2008	2008-12-14
CY039991|A/New_Jersey/8/1976	1976-XX-XX
CY130118|A/New_Jersey/8/1976	1976-XX-XX
CY044341|A/New_Jersey/AF09/2008	2008-02-14
CY147414|A/New_Jersey/Swiss/1976	1976-XX-XX
CY147422|A/New_Jersey/Wistar/1976	1976-XX-XX
EU566989|A/New_Mexico/01/2008	2008-01-03
EU100708|A/New_Mexico/02/2006	2006-12-31
EU199286|A/New_Mexico/04/2007	2007-02-05
EU567015|A/New_Mexico/07/2007	2007-12-18
CY016643|A/New_South_Wales/18/1999	1999-XX-XX
CY017123|A/New_South_Wales/24/1999	1999-XX-XX
CY016260|A/New_South_Wales/26/2000	2000-XX-XX
CY016563|A/New_South_Wales/30/2000	2000-XX-XX
EU716563|A/New_York/01/2008	2008-01-28
EU779614|A/New_York/03/2008	2008-01-30
EU851987|A/New_York/05/2008	2008-02-05
JN582055|A/New_York/08_1253/2008	2008-02-05
JN582063|A/New_York/08_1326/2008	2008-02-13
EU199355|A/New_York/08/2007	2007-04-02
CY172535|A/New_York/1049/2006	2006-03-28
CY172543|A/New_York/1050/2006	2006-12-11
CY172551|A/New_York/1051/2006	2006-12-13
CY172559|A/New_York/1052/2006	2006-12-17
CY172567|A/New_York/1053/2006	2006-12-27
CY172575|A/New_York/1054/2007	2007-01-04
CY172583|A/New_York/1055/2007	2007-01-06
CY172591|A/New_York/1056/2007	2007-01-29
CY172599|A/New_York/1058/2007	2007-02-03
CY172607|A/New_York/1059/2007	2007-02-05
CY172615|A/New_York/1060/2007	2007-02-05
CY172623|A/New_York/1061/2007	2007-02-06
CY172631|A/New_York/1062/2007	2007-02-06
CY172639|A/New_York/1063/2007	2007-02-07
CY172647|A/New_York/1064/2007	2007-02-13
CY172655|A/New_York/1066/2007	2007-02-13
CY172663|A/New_York/1068/2007	2007-02-22
CY172671|A/New_York/1069/2007	2007-02-28
CY172679|A/New_York/1070/2007	2007-02-28
CY172687|A/New_York/1071/2007	2007-03-19
CY172695|A/New_York/1072/2007	2007-04-10
CY172703|A/New_York/1073/2007	2007-01-10
CY172711|A/New_York/1074/2007	2007-01-27
CY172719|A/New_York/1075/2007	2007-02-09
CY172727|A/New_York/1076/2007	2007-02-11
CY172911|A/New_York/1104/2008	2008-01-14
CY172919|A/New_York/1105/2008	2008-01-17
CY172927|A/New_York/1107/2008	2008-01-22
CY172935|A/New_York/1108/2008	2008-01-21
CY172943|A/New_York/1109/2008	2008-01-22
CY172951|A/New_York/1110/2008	2008-01-29
CY172959|A/New_York/1111/2008	2008-01-31
CY172967|A/New_York/1112/2008	2008-02-04
CY172975|A/New_York/1113/2008	2008-02-04
CY172983|A/New_York/1114/2008	2008-02-04
CY172991|A/New_York/1115/2008	2008-02-06
CY172999|A/New_York/1116/2008	2008-02-09
CY173007|A/New_York/1117/2008	2008-02-10
CY173015|A/New_York/1118/2008	2008-02-13
CY173023|A/New_York/1119/2008	2008-02-18
CY173031|A/New_York/1120/2008	2008-02-18
CY173039|A/New_York/1121/2008	2008-02-20
CY173047|A/New_York/1122/2008	2008-02-20
CY173055|A/New_York/1123/2008	2008-02-26
CY173063|A/New_York/1124/2008	2008-02-26
CY173071|A/New_York/1125/2008	2008-03-06
CY173079|A/New_York/1126/2008	2008-03-06
CY173303|A/New_York/1158/2008	2008-12-30
CY000449|A/New_York/146/2000	2000-04-12
EU516251|A/New_York/16/2007	2007-12-05
CY001952|A/New_York/205/2001	2001-01-08
CY002616|A/New_York/208/2001	2001-02-27
CY006419|A/New_York/212/2001	2001-01-24
CY002528|A/New_York/220/2002	2002-12-26
CY002984|A/New_York/221/2003	2003-03-21
CY002680|A/New_York/222/2003	2003-01-12
CY002688|A/New_York/223/2003	2003-01-15
CY002624|A/New_York/230/2003	2003-01-27
CY002640|A/New_York/233/2000	2000-12-19
CY010852|A/New_York/235/2001	2001-01-23
CY003008|A/New_York/241/2001	2001-01-23
CY006355|A/New_York/242/2001	2001-01-24
CY003016|A/New_York/246/2001	2001-01-19
EU199333|A/New_York/26/2006	2006-12-13
CY002568|A/New_York/281/2001	2001-02-21
